epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.6852,0.93426,2.68564,1.15166,0.57219,0.46237,0.36592,0.28644,0.76934,3.10138,1.03209,0.00034441,0.00034441,0.00034441
2,351.693,0.89635,1.44187,1.11504,0.87489,0.25,0.70673,0.47982,1.04718,2.75088,1.20263,0.000686071,0.000686071,0.000686071
3,456.516,0.88228,1.1794,1.07658,0.68028,0.79691,0.84758,0.64344,0.8383,1.80619,1.07326,0.00101365,0.00101365,0.00101365
4,551.75,0.8432,1.07731,1.07989,0.83988,0.89599,0.89367,0.68592,0.89545,1.72105,1.10386,0.00104501,0.00104501,0.00104501
5,671.398,0.84119,1.00363,1.07312,0.8606,0.88778,0.88668,0.73015,0.69911,1.26046,0.95515,0.00102301,0.00102301,0.00102301
6,827.687,0.80761,0.92988,1.04403,0.76036,0.89175,0.88544,0.66073,0.88432,1.25054,1.15331,0.00100101,0.00100101,0.00100101
7,1067.39,0.81089,0.913,1.04389,0.87656,0.92254,0.90232,0.73959,0.76735,1.06957,1.00343,0.000979013,0.000979013,0.000979013
8,1204.86,0.78344,0.84976,1.02841,0.81423,0.88978,0.90931,0.74713,0.71942,1.13148,0.94322,0.000957015,0.000957015,0.000957015
9,1316.07,0.74645,0.80595,1.00692,0.9456,0.92376,0.92235,0.76682,0.72318,0.96092,0.96809,0.000935018,0.000935018,0.000935018
10,1427.71,0.74783,0.76207,1.01969,0.77932,0.8711,0.86375,0.71793,0.68694,0.99727,0.95919,0.00091302,0.00091302,0.00091302
11,1539.17,0.73345,0.73067,1.00734,0.83375,0.87242,0.88256,0.73573,0.73005,0.99677,0.98414,0.000891022,0.000891022,0.000891022
12,1653.34,0.71455,0.70367,0.9977,0.89973,0.90152,0.90187,0.75473,0.65888,0.89792,0.949,0.000869024,0.000869024,0.000869024
13,1765.39,0.71323,0.69022,0.98442,0.87294,0.91844,0.91873,0.78347,0.66042,0.80819,0.9364,0.000847026,0.000847026,0.000847026
14,1943.49,0.69779,0.6749,1.00376,0.87564,0.85786,0.88091,0.71686,0.72352,0.95178,0.94113,0.000825029,0.000825029,0.000825029
15,2064,0.68705,0.64125,0.98359,0.86985,0.91061,0.89271,0.74715,0.68646,0.83043,0.94002,0.000803031,0.000803031,0.000803031
16,2174.29,0.67409,0.61491,0.97796,0.85774,0.86758,0.88851,0.74496,0.68607,0.91505,0.93915,0.000781033,0.000781033,0.000781033
17,2330.48,0.67084,0.6071,0.97322,0.90192,0.90327,0.89389,0.76838,0.66033,0.81029,0.95315,0.000759035,0.000759035,0.000759035
18,2425.37,0.67265,0.60648,0.98315,0.90168,0.90786,0.91934,0.77748,0.65936,0.74882,0.9241,0.000737037,0.000737037,0.000737037
19,2516.56,0.65923,0.55973,0.96598,0.92025,0.91292,0.9093,0.75445,0.68369,0.77999,0.93252,0.00071504,0.00071504,0.00071504
20,2607.77,0.64175,0.56288,0.97119,0.86922,0.91024,0.8886,0.76671,0.62337,0.79188,0.91346,0.000693042,0.000693042,0.000693042
21,2698.75,0.6409,0.53954,0.96808,0.8797,0.89467,0.89752,0.76067,0.62533,0.75129,0.91849,0.000671044,0.000671044,0.000671044
22,2789.4,0.6268,0.523,0.96461,0.8967,0.89394,0.89715,0.74736,0.65286,0.76341,0.92356,0.000649046,0.000649046,0.000649046
23,2879.71,0.6237,0.51496,0.95228,0.86986,0.91498,0.90648,0.76517,0.65031,0.71096,0.92134,0.000627048,0.000627048,0.000627048
24,2988.3,0.62076,0.49438,0.94139,0.89399,0.93122,0.90474,0.78339,0.62836,0.69176,0.90385,0.000605051,0.000605051,0.000605051
25,3098.7,0.625,0.51133,0.96001,0.89489,0.92803,0.90292,0.78141,0.60744,0.65076,0.89623,0.000583053,0.000583053,0.000583053
26,3210.29,0.60286,0.49174,0.94723,0.87985,0.93374,0.89589,0.7783,0.60846,0.65387,0.89315,0.000561055,0.000561055,0.000561055
27,3320.98,0.58685,0.46765,0.9299,0.89035,0.9248,0.91891,0.79756,0.62863,0.65193,0.90539,0.000539057,0.000539057,0.000539057
